name,url,scope_1,scope_2,scope_3,total_offset_expenditure,total_offsets_tons_co2
CAMP Eyewear,https://www.climateneutral.org/brand/camp-eyewear,5.0,123.0,347.0,3800.0,475.0
Canary Marketing,https://www.climateneutral.org/brand/canary-marketing,66.0,49.0,2592.0,21068.27,2709.0
Cape Clasp,https://www.climateneutral.org/brand/cape-clasp,0.0,2.0,229.0,1848.0,231.0
Cariloop,https://www.climateneutral.org/brand/cariloop,4.0,362.0,343.0,11005.0,710.0
Ceremonia,https://www.climateneutral.org/brand/ceremonia,0.0,12.0,1875.0,11322.0,1887.0
"ChicoEco, Inc",https://www.climateneutral.org/brand/chicoeco-inc,10.0,11.0,671.0,2073.0,691.0
CHNGE,https://www.climateneutral.org/brand/chnge,0.0,1.0,1252.0,9518.0,1253.0
Chris Burkard Studio,https://www.climateneutral.org/brand/chris-burkard-studio,1.0,29.0,58.0,872.58,88.0
CLIF Kid,https://www.climateneutral.org/brand/clif-kid,2089.0,0.0,25470.0,317590.0,27559.0
Climate Neutral,https://www.climateneutral.org/brand/climate-neutral,0.0,1.0,42.0,350.9,43.0
Clove & Twine,https://www.climateneutral.org/brand/clove-and-twine,13.0,18.0,321.0,10101.92,352.0
Collective Logistics,https://www.climateneutral.org/brand/collective-logistics,1.0,0.0,18.0,144.0,18.0
Collins Hume,https://www.climateneutral.org/brand/collins-hume,3.0,0.0,58.0,476.25,61.0
Common Heir,https://www.climateneutral.org/brand/common-heir,24.0,79.0,680.0,5676.75,783.0
Consolidare Wealth Management Ltd,https://www.climateneutral.org/brand/consolidare-wealth-management,0.0,0.0,3.0,40.5,3.0
Convert,https://www.climateneutral.org/brand/convert,3.0,37.0,142.0,1086.0,181.0
Coracao Confections,https://www.climateneutral.org/brand/coracao-confections,8.0,170.0,535.0,9653.7,998.0
Cotopaxi,https://www.climateneutral.org/brand/cotopaxi,0.0,328.0,13531.0,124862.0,13859.0
COUNSEL,https://www.climateneutral.org/brand/counsel,1.0,34.0,68.0,10852.3,546.0
Creative Solutions,https://www.climateneutral.org/brand/creative-solutions,32.0,38.0,1611.0,3952.7,1682.0
DeeBee's Organics,https://www.climateneutral.org/brand/deebees-organics,1.0,129.0,3863.0,54890.0,4000.0
Della Terra,https://www.climateneutral.org/brand/della-terra,4.0,0.0,86.0,889.5,90.0
Denomination,https://www.climateneutral.org/brand/denomination,1.0,77.0,151.0,2519.0,229.0
DEPTÂ®,https://www.climateneutral.org/brand/dept,225.0,844.0,9761.0,177924.05,11113.0
"Dermatone Labs, LLC",https://www.climateneutral.org/brand/dermatone-labs-llc,0.0,2.0,258.0,2947.7,260.0
Dewerstone,https://www.climateneutral.org/brand/dewerstone,2.0,1.0,138.0,1128.0,141.0
Dimagi,https://www.climateneutral.org/brand/dimagi,10.0,142.0,785.0,7529.6,938.0
DoThings,https://www.climateneutral.org/brand/dothings,1.0,34.0,67.0,1249.5,102.0
Earth Harbor Naturals,https://www.climateneutral.org/brand/earth-harbor-naturals,1.0,18.0,37.0,539.5,56.0
EarthHero,https://www.climateneutral.org/brand/earthhero,29.0,11.0,282.0,4386.5,322.0
"EarthKind, LLC",https://www.climateneutral.org/brand/earthkind,26.0,156.0,2886.0,29146.0,3068.0
"Elizabeth Suzann, LLC",https://www.climateneutral.org/brand/elizabeth-suzann,0.0,2.0,80.0,896.0,83.0
Elm Organics Norway,https://www.climateneutral.org/brand/elm-organics-norway,0.0,0.0,189.0,1997.73,189.0
Emikeni,https://www.climateneutral.org/brand/emikeni,0.0,0.0,355.0,3372.5,355.0
Engedi Salon,https://www.climateneutral.org/brand/engedi-salon,3.0,173.0,153.0,2066.12,329.0
EthicDrinks,https://www.climateneutral.org/brand/ethicdrinks,27.0,6.0,466.0,5650.0,500.0
ettitude,https://www.climateneutral.org/brand/ettitude,0.0,0.0,1922.0,42284.0,1922.0
Eva-NYC,https://www.climateneutral.org/brand/eva-nyc,106.0,37.0,5365.0,54723.0,6188.0
Everoot Consulting,https://www.climateneutral.org/brand/everoot-consulting,0.0,3.0,6.0,156.75,11.0
"Everywhere Apparel, Inc",https://www.climateneutral.org/brand/everywhere-apparel,1.0,7.0,272.0,2288.44,287.0
Evolution Service Corp,https://www.climateneutral.org/brand/evolution-service-corp,0.0,0.0,43.0,516.0,43.0
ExquisiteCrystals.com LLC,https://www.climateneutral.org/brand/exquisitecrystals-com,0.0,0.0,165.0,2351.25,165.0
F Bass Inc.,https://www.climateneutral.org/brand/f-bass-inc,18.0,2.0,124.0,1260.0,144.0
Falcon Engineering,https://www.climateneutral.org/brand/falcon-engineering,9.0,3.0,141.0,4620.0,154.0
Fireclay Tile,https://www.climateneutral.org/brand/fireclay-tile,3326.0,0.0,7558.0,60411.75,10885.0
Firma,https://www.climateneutral.org/brand/firma,1.0,13.0,142.0,1659.13,155.0
Fjorden,https://www.climateneutral.org/brand/fjorden,0.0,0.0,566.0,5660.0,566.0
Flaik,https://www.climateneutral.org/brand/flaik,2.0,28.0,211.0,10850.0,700.0
Flickr,https://www.climateneutral.org/brand/flickr,4.0,76.0,82.0,3199.69,163.0
Flint,https://www.climateneutral.org/brand/flint,0.0,0.0,20.0,190.3,20.0
Flooret,https://www.climateneutral.org/brand/flooret,0.0,81.0,9841.0,107924.0,9921.0
Fluf Textile Goods Inc.,https://www.climateneutral.org/brand/fluf,0.0,1.0,364.0,3206.25,365.0
Foehn Clothing,https://www.climateneutral.org/brand/foehn-clothing,0.0,0.0,356.0,4272.0,356.0
Form,https://www.climateneutral.org/brand/form,0.0,0.0,38.0,266.0,38.0
Forsake,https://www.climateneutral.org/brand/forsake,11.0,13.0,2645.0,45738.0,2670.0
FUSION Performance Group,https://www.climateneutral.org/brand/fusion-performance-group,1.0,36.0,72.0,825.0,110.0
GEARTRADE,https://www.climateneutral.org/brand/geartrade,12.0,18.0,73.0,1248.0,104.0
