name,url,scope_1,scope_2,scope_3,total_offset_expenditure,total_offsets_tons_co2
Sozy,https://www.climateneutral.org/brand/sozy,0.0,10.0,424.0,5208.0,434.0
Standart,https://www.climateneutral.org/brand/standart,0.0,0.0,152.0,1828.5,152.0
StatusGator,https://www.climateneutral.org/brand/statusgator,0.0,8.0,17.0,848.0,25.0
Sterling Rope,https://www.climateneutral.org/brand/sterling-rope,120.0,175.0,4184.0,45040.0,4478.0
Stickbulb,https://www.climateneutral.org/brand/stickbulb,27.0,0.0,230.0,2570.0,257.0
Stio,https://www.climateneutral.org/brand/stio,2.0,202.0,14582.0,0.0,7609.0
Stranda Snowboards,https://www.climateneutral.org/brand/stranda-snowboards,0.0,0.0,180.0,1267.0,181.0
Stubble and Co.,https://www.climateneutral.org/brand/stubble-and-co,0.0,0.0,1482.0,14079.0,1482.0
Summit Coffee Roasting Co.,https://www.climateneutral.org/brand/summit-coffee,8.0,99.0,458.0,5640.0,564.0
Sunday Afternoons,https://www.climateneutral.org/brand/sunday-afternoons,25.0,121.0,4114.0,21172.2,4260.0
Sunday Beer Co.,https://www.climateneutral.org/brand/sunday-beer,0.0,1.0,59.0,1284.0,60.0
Sunski,https://www.climateneutral.org/brand/sunski,4.0,3.0,1245.0,11896.0,1252.0
Supercharge Ltd,https://www.climateneutral.org/brand/supercharge,57.0,29.0,498.0,3796.0,584.0
Sustainability Accelerator,https://www.climateneutral.org/brand/sustainability-accelerator,0.0,5.0,7.0,140.75,12.0
Sutsu,https://www.climateneutral.org/brand/sutsu,0.0,0.0,1126.0,3378.0,1126.0
Tandem Coffee,https://www.climateneutral.org/brand/tandem-coffee,22.0,317.0,1135.0,18315.25,1473.0
TECODA,https://www.climateneutral.org/brand/tecoda,1.0,8.0,35.0,341.0,44.0
tentree,https://www.climateneutral.org/brand/tentree,21.0,0.0,13744.0,63525.0,14000.0
Thatcher,https://www.climateneutral.org/brand/thatcher,0.0,2.0,468.0,3846.75,469.0
The Chris Bertish Foundation,https://www.climateneutral.org/brand/the-chris-bertish-foundation,0.0,1.0,1.0,19.0,2.0
The Cushion Lab,https://www.climateneutral.org/brand/the-cushion-lab,0.0,0.0,513.0,10733.0,1004.0
The Disruption Society,https://www.climateneutral.org/brand/the-disruption-society,0.0,6.0,11.0,136.0,17.0
The Earthling Co.,https://www.climateneutral.org/brand/the-earthling-co,0.0,0.0,686.0,4973.5,686.0
The Longest Thread,https://www.climateneutral.org/brand/the-longest-thread,0.0,0.0,84.0,1134.0,84.0
The Resell Club,https://www.climateneutral.org/brand/the-resell-club,0.0,15.0,13.0,182.0,28.0
The Scrubba,https://www.climateneutral.org/brand/the-scrubba,0.0,0.0,672.0,5801.0,672.0
thinkPARALLAX,https://www.climateneutral.org/brand/thinkparallax,5.0,128.0,253.0,5245.74,386.0
Thrive Market,https://www.climateneutral.org/brand/thrive-market,1188.0,0.0,46262.0,296255.0,47500.0
Topiku,https://www.climateneutral.org/brand/topiku,0.0,0.0,64.0,603.9,64.0
TOPO Collective,https://www.climateneutral.org/brand/topo-collective,0.0,4.0,7.0,159.5,11.0
Tripulse,https://www.climateneutral.org/brand/tripulse,0.0,0.0,21.0,220.65,21.0
True North Gear,https://www.climateneutral.org/brand/true-north-gear,32.0,34.0,3250.0,33170.0,3317.0
Untold Storytelling,https://www.climateneutral.org/brand/untold-storytelling,2.0,35.0,42.0,1027.0,90.0
Vahdam Teas,https://www.climateneutral.org/brand/vahdam-teas,8.0,542.0,2215.0,11474.75,2765.0
Vargo Outdoors,https://www.climateneutral.org/brand/vargo-outdoors,0.0,0.0,1331.0,8241.0,1340.0
Vincero,https://www.climateneutral.org/brand/vincero-watches,0.0,21.0,2376.0,13183.5,2397.0
Vintner's Daughter,https://www.climateneutral.org/brand/vintners-daughter,11.0,25.0,897.0,24957.75,933.0
Vuori,https://www.climateneutral.org/brand/vuori,486.0,328.0,62433.0,670987.81,63248.0
Walrus Oil,https://www.climateneutral.org/brand/walrus-oil,21.0,322.0,457.0,8000.0,800.0
west~bourne,https://www.climateneutral.org/brand/west-bourne,0.0,0.0,421.0,5002.5,421.0
Whitewater Brewing,https://www.climateneutral.org/brand/whitewater-brewing,15.0,22.0,860.0,8521.5,897.0
Wild Elements,https://www.climateneutral.org/brand/wild-elements,4.0,91.0,179.0,2393.8,273.0
Wild Rye,https://www.climateneutral.org/brand/wild-rye,0.0,2.0,1595.0,11977.5,1597.0
WILDFANG,https://www.climateneutral.org/brand/wildfang,1.0,9.0,4395.0,49227.0,4404.0
Wildway,https://www.climateneutral.org/brand/wildway,9.0,30.0,273.0,2124.0,312.0
Will's Vegan Store,https://www.climateneutral.org/brand/wills-vegan-store,1.0,0.0,929.0,6742.5,930.0
Wingback Ltd,https://www.climateneutral.org/brand/wingback-ltd,0.0,0.0,245.0,2977.08,246.0
Wolven,https://www.climateneutral.org/brand/wolven,0.0,1.0,980.0,9463.5,981.0
WOODSANDWAVES,https://www.climateneutral.org/brand/woodsandwaves,0.0,0.0,76.0,476.0,76.0
XCoSports,https://www.climateneutral.org/brand/xcosports,67.0,0.0,766.0,6664.0,833.0
YAMA Mountain Gear,https://www.climateneutral.org/brand/yama-mountain-gear,1.0,6.0,28.0,442.0,35.0
zkipster,https://www.climateneutral.org/brand/zkipster,7.0,1.0,253.0,3120.0,260.0
Zuar,https://www.climateneutral.org/brand/zuar,7.0,89.0,340.0,3153.75,435.0
Zusa,https://www.climateneutral.org/brand/zusa,0.0,0.0,123.0,988.9,124.0
